name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score,Director,Actors,Total_Gross,main_genre,budget,id,imdb_id,original_language,original_title,revenue
The Homesman,Drama,6.6,Tommy Lee Jones,Tommy Lee Jones,16000000.0,3819421.0,Tommy Lee Jones,Tim Blake Nelson,2428883.0,Drama|Western,Barry Corbin,The Homesman,16000000.0,6.6,,,,,,,,,,
Let's Be Cops,Action,6.4,Luke Greenfield,Jake Johnson,17000000.0,138224951.0,Luke Greenfield,Damon Wayans Jr.,82389560.0,Comedy,Rob Riggle,Let's Be Cops,17000000.0,6.5,,,,,,,,,,
A Most Violent Year,Action,7.0,J.C. Chandor,Oscar Isaac,20000000.0,12007070.0,J.C. Chandor,Ashley Williams,5749134.0,Action|Crime|Drama|Thriller,David Oyelowo,A Most Violent Year,20000000.0,7.0,,,,,,,,,,
A Most Wanted Man,Crime,6.8,Anton Corbijn,Philip Seymour Hoffman,15000000.0,36233517.0,Anton Corbijn,Nina Hoss,17237244.0,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man,15000000.0,6.8,,,,,,,,,,
The Signal,Drama,6.1,William Eubank,Brenton Thwaites,4000000.0,2595622.0,William Eubank,Olivia Cooke,,Sci-Fi|Thriller,Lin Shaye,The Signal,4000000.0,6.1,,,,,,,,,,
The Hundred-Foot Journey,Comedy,7.3,Lasse Hallström,Helen Mirren,22000000.0,89514453.0,Lasse Hallström,Charlotte Le Bon,54235441.0,Comedy|Drama,Manish Dayal,The Hundred-Foot Journey,22000000.0,7.3,,,,,,,,,,
Beyond the Lights,Drama,6.9,Gina Prince-Bythewood,Gugu Mbatha-Raw,7000000.0,14618727.0,Gina Prince-Bythewood,Nate Parker,14612840.0,Drama|Music,Minnie Driver,Beyond the Lights,7000000.0,6.9,,,,,,,,,,
If I Stay,Drama,6.7,R.J. Cutler,Chloë Grace Moretz,11000000.0,78274843.0,R.J. Cutler,Mireille Enos,50461335.0,Drama|Fantasy|Music|Romance,Chloë Grace Moretz,If I Stay,11000000.0,6.8,,,,,,,,,,
Still Alice,Drama,7.5,Richard Glatzer,Julianne Moore,5000000.0,44779195.0,Richard Glatzer,Hunter Parrish,18656400.0,Drama,Kristen Stewart,Still Alice,5000000.0,7.5,,,,,,,,,,
3 Days to Kill,Action,6.2,McG,Kevin Costner,28000000.0,53260230.0,McG,Richard Sammel,30688364.0,Action|Drama|Thriller,Connie Nielsen,3 Days to Kill,28000000.0,6.2,,,,,,,,,,
Big Eyes,Biography,7.0,Tim Burton,Amy Adams,10000000.0,29253166.0,Tim Burton,Danny Huston,14479776.0,Biography|Crime|Drama|Romance,Christoph Waltz,Big Eyes,10000000.0,7.0,,,,,,,,,,
