Feature,Score
director_David Frankel,0.43869739223027693
director_David Gelb,0.11996269465124225
director_David Gordon Green,0.5305140768601666
director_David Green,0.22310737844513528
director_David Greenwalt,0.2854007626425255
director_David Hackl,0.003223580608879219
director_David Hogan,0.519141059892934
director_David Jacobson,0.30292317109326944
director_David Kellogg,0.07158275375159047
director_David Kerr,0.08857215260086648
director_David Koepp,0.5020766715201647
director_David L. Cunningham,0.14522469306917646
director_David L. Hunt,0.292109323651183
director_David Lean,0.1647684541468811
director_David Leitch,17.01489812382281
director_David Lowery,0.05271677676874738
director_David Lynch,1.6387502701487326
director_David Mackenzie,0.39291786126193895
director_David Mamet,0.9450087366454393
director_David McNally,0.00018615357624871155
director_David Michôd,0.2891767610616865
director_David Mirkin,0.05894248665470334
director_David Moreau,0.05828607512355099
director_David Moreton,0.2986609562095667
director_David Nutter,0.20943003373133867
director_David O. Russell,0.004618828856415252
director_David Palmer,0.2128565985554532
director_David Price,0.551673931254909
director_David R. Ellis,0.03468839527281744
director_David Raynr,0.24828549547097098
director_David Robert Mitchell,0.4745999089601563
director_David S. Goyer,0.05259541849533613
director_David S. Ward,0.8412506470798353
director_David Schwimmer,0.3002735969149079
director_David Seltzer,0.4477203603485023
director_David Silverman,5.354104073151107
director_David Slade,2.1124410747973057
director_David Soren,0.5790643343290941
director_David Twohy,0.4638468876149178
director_David Von Ancken,0.2966317621835893
director_David Wain,0.18368799004799558
director_David Yarovesky,0.14102020235698562
director_David Yates,94.74336791654017
director_David Zucker,0.0041485887470270565
director_Davis Guggenheim,0.23418274858420204
director_Dax Shepard,0.1665126477392948
director_Dean DeBlois,16.14032434474965
director_Dean Devlin,0.39942096138252653
director_Dean Israelite,0.013618462250424207
director_Dean Parisot,0.011995066754888007
director_Dean Semler,0.2576135343674442
director_Deborah Kampmeier,0.3029939808112318
director_Debra Granik,0.22799427693943372
director_Delbert Mann,0.2585097656371248
director_Demian Lichtenstein,0.2035818174022188
director_Denis Villeneuve,0.1472858844355093
