name,genre,score,director,budget_x,gross_x,actor_2_name,gross_y,actor_1_name,budget_y,gross,budget
Police Academy,Comedy,6.7,Hugh Wilson,4500000.0,81198894.0,Bubba Smith,81200000.0,Steve Guttenberg,4500000.0,81198894.0,4500000.0
Indiana Jones and the Temple of Doom,Action,7.5,Steven Spielberg,28000000.0,333107271.0,Amrish Puri,179870271.0,Harrison Ford,28000000.0,333107271.0,28000000.0
Body Double,Crime,6.8,Brian De Palma,10000000.0,8801940.0,Dennis Franz,,Melanie Griffith,10000000.0,8801940.0,10000000.0
A Nightmare on Elm Street,Horror,7.5,Wes Craven,1800000.0,25507137.0,Lin Shaye,26505000.0,Johnny Depp,1800000.0,25507137.0,1800000.0
Amadeus,Biography,8.3,Milos Forman,18000000.0,52066791.0,F. Murray Abraham,51600000.0,Jeffrey Jones,18000000.0,52066791.0,18000000.0
Beverly Hills Cop,Action,7.3,Martin Brest,14000000.0,316360478.0,Ronny Cox,234760500.0,Judge Reinhold,14000000.0,316360478.0,14000000.0
Red Dawn,Action,6.4,John Milius,17000000.0,38376497.0,Jennifer Grey,,Lea Thompson,16900000.0,38376497.0,16900000.0
The NeverEnding Story,Adventure,7.4,Wolfgang Petersen,27000000.0,20251411.0,Barret Oliver,,Gerald McRaney,27000000.0,20251411.0,27000000.0
Footloose,Drama,6.6,Herbert Ross,8200000.0,80039064.0,Chris Penn,80000000.0,Dianne Wiest,8200000.0,80039064.0,8200000.0
Gremlins,Comedy,7.3,Joe Dante,11000000.0,153633143.0,Harry Carey Jr.,148170000.0,Phoebe Cates,11000000.0,153633143.0,11000000.0
Conan the Destroyer,Action,5.9,Richard Fleischer,18000000.0,31042035.0,Olivia d'Abo,26400000.0,Mako,18000000.0,31042035.0,18000000.0
Splash,Comedy,6.3,Ron Howard,8000000.0,69821334.0,Howard Morris,69800000.0,Tom Hanks,8000000.0,69821334.0,8000000.0
The Bounty,Adventure,7.0,Roger Donaldson,25000000.0,8613462.0,Anthony Hopkins,8600000.0,Liam Neeson,25000000.0,8613462.0,25000000.0
