name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
Halloween III: Season of the Witch,Horror,5.0,Tommy Lee Wallace,Tom Atkins,2500000.0,14400000.0,Tommy Lee Wallace,Dan O'Herlihy,14400000.0,Horror|Mystery|Sci-Fi,Tom Atkins,Halloween III: Season of the Witch,2500000.0,4.6
The Verdict,Drama,7.7,Sidney Lumet,Paul Newman,16000000.0,53993738.0,Sidney Lumet,James Mason,54000000.0,Drama,Charlotte Rampling,The Verdict,16000000.0,7.8
Diner,Comedy,7.1,Barry Levinson,Steve Guttenberg,5000000.0,14099953.0,Barry Levinson,Daniel Stern,14100000.0,Comedy|Drama,Steve Guttenberg,Diner,5000000.0,7.2
The Best Little Whorehouse in Texas,Comedy,6.0,Colin Higgins,Burt Reynolds,35000000.0,69701637.0,Colin Higgins,Barry Corbin,69700000.0,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas,35000000.0,5.8
Megaforce,Action,3.7,Hal Needham,Barry Bostwick,20000000.0,5675599.0,Hal Needham,Michael Beck,5333658.0,Action|Sci-Fi,Barry Bostwick,Megaforce,20000000.0,3.5
The Border,Crime,6.4,Tony Richardson,Jack Nicholson,22000000.0,6118683.0,,Marian Dziedziel,,Action|Crime|Drama|Thriller,Jacek Koman,The Border,,7.4
Jekyll and Hyde... Together Again,Sci-Fi,6.2,Jerry Belson,Mark Blankfield,5000000.0,3792188.0,Jerry Belson,Tim Thomerson,,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again,5000000.0,6.2
The Wizard of Oz,Animation,6.8,Fumihiko Takayama,Aileen Quinn,,,Victor Fleming,Terry,22202612.0,Adventure|Family|Fantasy|Musical,Margaret Hamilton,The Wizard of Oz,2800000.0,8.1
Scarface,Crime,8.3,Brian De Palma,Al Pacino,25000000.0,65884703.0,Brian De Palma,F. Murray Abraham,44700000.0,Crime|Drama,Al Pacino,Scarface,25000000.0,8.3
The Outsiders,Crime,7.1,Francis Ford Coppola,C. Thomas Howell,10000000.0,25697647.0,Francis Ford Coppola,William Smith,25600000.0,Crime|Drama,Tom Cruise,The Outsiders,10000000.0,7.2
Star Wars: Episode VI - Return of the Jedi,Action,8.3,Richard Marquand,Mark Hamill,32500000.0,475106177.0,Richard Marquand,Ian McDiarmid,309125409.0,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode VI - Return of the Jedi,32500000.0,8.4
National Lampoon's Vacation,Adventure,7.4,Harold Ramis,Chevy Chase,15000000.0,61399552.0,Harold Ramis,Randy Quaid,61400000.0,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation,15000000.0,7.4
Trading Places,Comedy,7.5,John Landis,Eddie Murphy,15000000.0,90404800.0,John Landis,Denholm Elliott,90400000.0,Comedy,Don Ameche,Trading Places,,7.5
Superman III,Action,5.0,Richard Lester,Christopher Reeve,39000000.0,59950623.0,Richard Lester,Robert Vaughn,60000000.0,Action|Comedy|Sci-Fi,Margot Kidder,Superman III,39000000.0,4.9
Flashdance,Drama,6.2,Adrian Lyne,Jennifer Beals,4000000.0,92921203.0,Adrian Lyne,Cynthia Rhodes,94900000.0,Drama|Music|Romance,Michael Nouri,Flashdance,4000000.0,6.1
WarGames,Action,7.1,John Badham,Matthew Broderick,12000000.0,79567667.0,John Badham,Barry Corbin,79568000.0,Sci-Fi|Thriller,Matthew Broderick,WarGames,12000000.0,7.1
