Movie_Title,Director,Actors,Total_Gross,main_genre
Bronenosets Potemkin,Sergei Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov",$0.05M,Drama
Kagemusha,Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu",Gross Unkown,Drama
All the President's Men,Alan J. Pakula,"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam",$70.60M,Drama
The Ten Commandments,Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",$93.74M,Adventure
Under sandet,Martin Zandvliet,"Roland Møller, Louis Hofmann, Joel Basman, Mikkel Boe Følsgaard",$0.44M,Drama
The Man Who Would Be King,John Huston,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey",Gross Unkown,Adventure
The Trial of the Chicago 7,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong",Gross Unkown,Drama
Joyeux Noël,Christian Carion,"Diane Kruger, Benno Fürmann, Guillaume Canet, Natalie Dessay",$1.05M,Drama
Apollo 13,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",$173.84M,Adventure
Empire of the Sun,Steven Spielberg,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers",$22.24M,Drama
Der Name der Rose,Jean-Jacques Annaud,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin",$7.15M,Drama
Novecento,Bernardo Bertolucci,"Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini",Gross Unkown,Drama
Zulu,Cy Endfield,"Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth",Gross Unkown,Drama
Bridge of Spies,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",$72.31M,Drama
The Thin Red Line,Terrence Malick,"Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo",$36.40M,Drama
Gettysburg,Ron Maxwell,"Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan",$10.77M,Drama
Lo imposible,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",$19.02M,Adventure
Jin ling shi san chai,Yimou Zhang,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang",$0.01M,Drama
"Se, jie",Ang Lee,"Tony Chiu-Wai Leung, Tang Wei, Joan Chen, Leehom Wang",$4.60M,Drama
No,Pablo Larraín,"Gael García Bernal, Alfredo Castro, Antonia Zegers, Luis Gnecco",$2.34M,Drama
Zero Dark Thirty,Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",$95.72M,Drama
The Mission,Roland Joffé,"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn",$17.22M,Adventure
Gallipoli,Peter Weir,"Mel Gibson, Mark Lee, Bill Kerr, Harold Hopkins",$5.73M,Adventure
A Bridge Too Far,Richard Attenborough,"Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier",$50.80M,Drama
Den 12. mann,Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen",Gross Unkown,Drama
The Way Back,Peter Weir,"Jim Sturgess, Ed Harris, Colin Farrell, Dragos Bucur",$2.70M,Adventure
Across the Universe,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs",$24.34M,Drama
Troy,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover",$133.38M,Drama
Seabiscuit,Gary Ross,"Tobey Maguire, Jeff Bridges, Elizabeth Banks, Chris Cooper",$120.28M,Drama
Thirteen Days,Roger Donaldson,"Kevin Costner, Bruce Greenwood, Shawn Driscoll, Drake Cook",$34.59M,Drama
Jesus Christ Superstar,Norman Jewison,"Ted Neeley, Carl Anderson, Yvonne Elliman, Barry Dennen",$24.48M,Drama
The Death of Stalin,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough",$8.04M,Comedy
The Physician,Philipp Stölzl,"Tom Payne, Stellan Skarsgård, Olivier Martinez, Emma Catherine Rigby",Gross Unkown,Adventure
Shattered Glass,Billy Ray,"Hayden Christensen, Chloë Sevigny, Steve Zahn, Peter Sarsgaard",$2.22M,Drama
Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins",$95.64M,Adventure
The Courier,Dominic Cooke,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov",Gross Unkown,Drama
Valkyrie,Bryan Singer,"Tom Cruise, Bill Nighy, Carice van Houten, Kenneth Branagh",$83.08M,Drama
Silence,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano",$7.10M,Drama
Shakespeare in Love,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Tom Wilkinson",$100.32M,Comedy
Padmaavat,Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari",$11.85M,Drama
The Water Diviner,Russell Crowe,"Russell Crowe, Olga Kurylenko, Jai Courtney, Isabel Lucas",$4.19M,Drama
Cool Runnings,Jon Turteltaub,"John Candy, Leon, Doug E. Doug, Rawle D. Lewis",$68.86M,Adventure
The Bounty,Roger Donaldson,"Mel Gibson, Anthony Hopkins, Laurence Olivier, Edward Fox",$8.60M,Adventure
Suffragette,Sarah Gavron,"Carey Mulligan, Anne-Marie Duff, Helena Bonham Carter, Meryl Streep",$4.69M,Drama
The Crucible,Nicholas Hytner,"Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen",$7.34M,Drama
