name,genre,score,director,star,budget,gross
Pink Floyd: The Wall,Drama,8.0,Alan Parker,Bob Geldof,12000000.0,22265763.0
Cat People,Fantasy,6.2,Paul Schrader,Nastassja Kinski,18000000.0,7000000.0
Fanny and Alexander,Drama,8.1,Ingmar Bergman,Bertil Guve,6000000.0,6795771.0
Friday the 13th Part III,Horror,5.7,Steve Miner,Dana Kimmell,2300000.0,36690067.0
Firefox,Action,6.0,Clint Eastwood,Clint Eastwood,18000000.0,46708276.0
Halloween III: Season of the Witch,Horror,5.0,Tommy Lee Wallace,Tom Atkins,2500000.0,14400000.0
The Dark Crystal,Adventure,7.2,Jim Henson,Jim Henson,15000000.0,41630431.0
The Verdict,Drama,7.7,Sidney Lumet,Paul Newman,16000000.0,53993738.0
Pieces,Horror,6.1,Juan Piquer Simón,Christopher George,300000.0,2032311.0
Zapped!,Comedy,4.9,Robert J. Rosenthal,Scott Baio,,16897768.0
Six Pack,Comedy,5.9,Daniel Petrie,Kenny Rogers,,20225989.0
The World According to Garp,Comedy,7.2,George Roy Hill,Robin Williams,17000000.0,29712172.0
Diner,Comedy,7.1,Barry Levinson,Steve Guttenberg,5000000.0,14099953.0
The Best Little Whorehouse in Texas,Comedy,6.0,Colin Higgins,Burt Reynolds,35000000.0,69701637.0
The Year of Living Dangerously,Drama,7.1,Peter Weir,Mel Gibson,13000000.0,10278575.0
Night Shift,Comedy,6.6,Ron Howard,Henry Winkler,,21095638.0
Summer Lovers,Comedy,5.7,Randal Kleiser,Peter Gallagher,,4968000.0
Victor Victoria,Comedy,7.6,Blake Edwards,Julie Andrews,,28229046.0
The Last Unicorn,Animation,7.4,Jules Bass,Jeff Bridges,3500000.0,6455330.0
The Entity,Drama,6.7,Sidney J. Furie,Barbara Hershey,9000000.0,13277558.0
Airplane II: the Sequel,Comedy,6.2,Ken Finkleman,Robert Hays,15000000.0,27150534.0
The Toy,Comedy,5.8,Richard Donner,Richard Pryor,17000000.0,47118057.0
The House on Sorority Row,Horror,6.0,Mark Rosman,Kate McNeil,425000.0,10604986.0
Evil Under the Sun,Crime,7.1,Guy Hamilton,Peter Ustinov,10000000.0,6110670.0
The Sword and the Sorcerer,Action,5.6,Albert Pyun,Lee Horsley,,39103425.0
Death Wish II,Action,6.0,Michael Winner,Charles Bronson,2000000.0,16100000.0
Silent Rage,Action,5.5,Michael Miller,Chuck Norris,4500000.0,10490791.0
Megaforce,Action,3.7,Hal Needham,Barry Bostwick,20000000.0,5675599.0
Personal Best,Drama,6.3,Robert Towne,Mariel Hemingway,16000000.0,5672311.0
Dead Men Don't Wear Plaid,Comedy,6.9,Carl Reiner,Steve Martin,9000000.0,18196170.0
Amityville II: The Possession,Horror,5.5,Damiano Damiani,James Olson,5000000.0,12534817.0
Missing,Biography,7.7,Costa-Gavras,Jack Lemmon,9500000.0,14000000.0
Frances,Biography,7.3,Graeme Clifford,Jessica Lange,,
The Seduction,Thriller,4.9,David Schmoeller,Morgan Fairchild,,11378339.0
Cannery Row,Comedy,6.7,David S. Ward,Nick Nolte,11300000.0,5301539.0
Deathtrap,Comedy,7.0,Sidney Lumet,Michael Caine,,19282134.0
Tex,Drama,6.5,Tim Hunter,Matt Dillon,,7400000.0
Time Walker,Horror,3.6,Tom Kennedy,Ben Murphy,750000.0,
"I, the Jury",Crime,5.9,Richard T. Heffron,Armand Assante,,1515578.0
Tempest,Comedy,6.5,Paul Mazursky,John Cassavetes,13000000.0,5005245.0
Young Doctors in Love,Comedy,5.5,Garry Marshall,Michael McKean,,30688860.0
My Favorite Year,Comedy,7.4,Richard Benjamin,Peter O'Toole,,20123620.0
Still of the Night,Crime,6.1,Robert Benton,Roy Scheider,10000000.0,5979947.0
Parasite,Horror,3.9,Charles Band,Robert Glaudini,800000.0,2270.0
Making Love,Drama,6.9,Arthur Hiller,Michael Ontkean,,11897978.0
Honkytonk Man,Comedy,6.6,Clint Eastwood,Clint Eastwood,2000000.0,4484991.0
The Beast Within,Horror,5.6,Philippe Mora,Ronny Cox,,7742572.0
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy,7.2,Robert Altman,Cher,850000.0,840958.0
The Final Option,Action,6.4,Ian Sharp,Lewis Collins,6000000.0,2666873.0
Trail of the Pink Panther,Comedy,5.0,Blake Edwards,Peter Sellers,6000000.0,9056073.0
The Sender,Drama,6.0,Roger Christian,Kathryn Harrold,,1054328.0
The Border,Crime,6.4,Tony Richardson,Jack Nicholson,22000000.0,6118683.0
Kiss Me Goodbye,Comedy,6.0,Robert Mulligan,Sally Field,,15782759.0
A Midsummer Night's Sex Comedy,Comedy,6.6,Woody Allen,Woody Allen,,9077269.0
Vice Squad,Action,6.5,Gary Sherman,Season Hubley,,13253583.0
Best Friends,Comedy,5.5,Norman Jewison,Burt Reynolds,15000000.0,36821203.0
Shoot the Moon,Drama,6.9,Alan Parker,Albert Finney,12000000.0,9217530.0
