name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Death at a Funeral,Comedy,7.4,Frank Oz,Ewen Bremner,Peter Dinklage,46789413.0,9000000.0
Mr. Bean's Holiday,Comedy,6.4,Steve Bendelack,Emma de Caunes,Lily Atkinson,232225908.0,25000000.0
The Brothers Solomon,Comedy,5.3,Bob Odenkirk,Lee Majors,Jenna Fischer,1035056.0,10000000.0
August Rush,Drama,7.5,Kirsten Sheridan,Aaron Staton,Robin Williams,66122026.0,30000000.0
The Number 23,Crime,6.4,Joel Schumacher,Virginia Madsen,Logan Lerman,77677553.0,32000000.0
Evan Almighty,Comedy,5.4,Tom Shadyac,Morgan Freeman,Jimmy Bennett,174440724.0,175000000.0
Once,Drama,7.8,John Carney,Markéta Irglová,Glen Hansard,20936722.0,180000.0
War,Action,6.2,Philip G. Atwell,Jet Li,Jason Statham,40481352.0,25000000.0
Elizabeth: The Golden Age,Biography,6.8,Shekhar Kapur,Abbie Cornish,Eddie Redmayne,75782758.0,55000000.0
Waitress,Comedy,7.0,Adrienne Shelly,Cheryl Hines,Lew Temple,22240529.0,2000000.0
No Reservations,Comedy,6.3,Scott Hicks,Lily Rabe,Zoë Kravitz,92601050.0,28000000.0
TMNT,Animation,6.2,Kevin Munroe,Sarah Michelle Gellar,Chris Evans,95802916.0,34000000.0
Sydney White,Comedy,6.2,Joe Nussbaum,Matt Long,Danny Strong,13620075.0,16500000.0
The Kite Runner,Drama,7.6,Marc Forster,Shaun Toub,Mustafa Haidari,75011029.0,20000000.0
Reign Over Me,Drama,7.4,Mike Binder,Don Cheadle,Adam Sandler,22242388.0,20000000.0
Becoming Jane,Biography,7.0,Julian Jarrold,Julie Walters,Anne Hathaway,37407812.0,16500000.0
In the Name of the King: A Dungeon Siege Tale,Action,3.8,Uwe Boll,Mike Dopud,Jason Statham,13097915.0,60000000.0
We Own the Night,Action,6.8,James Gray,Oleg Taktarov,Robert Duvall,55033767.0,21000000.0
Savage Grace,Drama,5.8,Tom Kalin,Elena Anaya,Eddie Redmayne,1432799.0,4600000.0
Death Sentence,Action,6.7,James Wan,Kelly Preston,Aisha Tyler,16974459.0,20000000.0
Elite Squad,Action,8.0,José Padilha,Fernanda Machado,Wagner Moura,14759148.0,4000000.0
My Blueberry Nights,Drama,6.6,Kar-Wai Wong,Norah Jones,Natalie Portman,22007671.0,10000000.0
Love in the Time of Cholera,Drama,6.4,Mike Newell,Giovanna Mezzogiorno,Marcela Mar,31575877.0,45000000.0
The Reaping,Horror,5.6,Stephen Hopkins,Andrea Frankle,Stephen Rea,62771059.0,40000000.0
The Invasion,Sci-Fi,5.9,Oliver Hirschbiegel,Veronica Cartwright,Roger Rees,40170558.0,80000000.0
Redacted,Crime,6.1,Brian De Palma,Daniel Stewart Sherman,Mike Figueroa,784604.0,5000000.0
Who's Your Caddy?,Comedy,2.2,Don Michael Paul,Faizon Love,Jeffrey Jones,5713425.0,7000000.0
Persepolis,Animation,8.0,Vincent Paronnaud,Gena Rowlands,Catherine Deneuve,22783978.0,7300000.0
The Great Debaters,Biography,7.5,Denzel Washington,Jurnee Smollett-Bell,Denzel Washington,30271556.0,15000000.0
Georgia Rule,Comedy,5.8,Garry Marshall,Zachary Gordon,Hector Elizondo,25000167.0,20000000.0
Hotel for Dogs,Comedy,5.4,Thor Freudenthal,Kevin Dillon,Don Cheadle,117252578.0,35000000.0
"4 Months, 3 Weeks and 2 Days",Drama,7.9,Cristian Mungiu,Vlad Ivanov,Anamaria Marinca,10174839.0,590000.0
Lions for Lambs,Crime,6.2,Robert Redford,Tom Cruise,Meryl Streep,64811540.0,35000000.0
Charlie Bartlett,Comedy,7.0,Jon Poll,Megan Park,Robert Downey Jr.,5254986.0,12000000.0
The Last Legion,Action,5.4,Doug Lefler,Nonso Anozie,Colin Firth,25303038.0,35000000.0
